Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Mission,Military Parkway Expansion Project,"$2,000,000.00 ",De La Cruz,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Seguin,Community Center Improvements,"$2,300,000.00 ",De La Cruz,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Hidalgo County,West Main Drain Project,"$5,500,000.00 ",De La Cruz,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Austin,Cool  Corridors:  Tree  Planting  and  Equipment  to  Reduce  Extreme Heat in Austin’s Hottest Corridors,"$500,000.00 ",Doggett,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Austin,Sunken  Garden  Springs  Historic  Rehabilitation  and  Restoration Project,"$625,000.00 ",Doggett,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Austin,Foundation Communities/Mary Lee Campus—‘‘Lamar Square’’,"$625,000.00 ",Doggett,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Austin Independent School District,Career and Technical Education Equipment and Facility Improvements at Austin ISD,"$1,500,000.00 ",Doggett,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Travis County,SAFE  Rathgeber  Village  Safety  and  Security  Infrastructure  Upgrade,"$2,000,000.00 ",Doggett,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Irving,Domestic Violence Shelter Construction,"$5,000,000.00 ",Ellzey,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Glenn Heights,Water Infrastructure Improvements,"$6,300,000.00 ",Ellzey,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Glenn Heights,Water System Improvements,"$8,455,000.00 ",Ellzey,
Department of Housing and Urban Development,Economic Development Initiatives,TX,El Paso County,Animal Welfare Shelter Equipment Acquisition,"$250,000.00 ",Escobar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of El Paso,Innovation Factory Phase II,"$250,000.00 ",Escobar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,El Paso County,Transforming Juvenile Justice through Education Expansion,"$1,000,000.00 ",Escobar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Montrose Redevelopment Authority,Northeast Montrose Sidewalk Improvements,"$850,000.00 ",Fletcher,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of West University Place,West University Roadway Reconstruction,"$850,000.00 ",Fletcher,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Harris County Public Library,Tiny Branches,"$850,000.00 ",Fletcher,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City Park Redevelopment Authority (TIRZ12),12th Street Drainage Upgrades,"$1,000,000.00 ",Fletcher,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Fort Bend County Precinct 4,Mission Bend Senior Center,"$2,000,000.00 ",Fletcher,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Southwest Houston Redevelopment Authority (SHRA),Southwest Civic Core Phase II,"$2,000,000.00 ",Fletcher,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Houston Parks and Recreation Department,City of Houston Metropolitan Multi Service Center (MMSC) for People with Disabilities Renovation Project,"$3,150,000.00 ",Fletcher,
Department of Housing and Urban Development,Economic Development Initiatives,TX,University of Houston Downtown,East End Innovation Incubator Facility Development,"$250,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,"UTHealth Houston, School of Dentistry",University of Texas Kitchen Construction and Equipment Acquisition,"$250,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Harrisburg Redevelopment Authority (TIRZ 23),Harrisburg Trail Improvements,"$250,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Harris County Precinct 2,"Facility   for   Addressing   Community   Food   Security   Needs   in Gulfgate—Demolition, Development and Construction","$250,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,East Aldine Management District,Worsham  Elementary  Safe  Routes  to  Schools  Infrastructure  Improvements,"$850,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Pasadena Parks & Recreation,City of Pasadena Strawberry Park Improvements,"$850,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,University of Houston Arte Publico Press,Humanities Facility Infrastructure Development and Construction,"$850,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Houston,Mason Park Community Center Repairs and Improvements,"$1,200,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Harris County Precinct 2,Veterans  Memorial  Park  Improvements  and  Facility  Development and Construction,"$1,200,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Houston Land Bank,Yellow   Cab   Site   Redevelopment—Mixed-Income   Housing   and Community Revitalization,"$2,000,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,The University of Texas at Houston,"Strengthening Houston Housing, Houston, Harris County, Texas","$2,000,000.00 ",Garcia (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Hudspeth County,Hudspeth County Community Center,"$2,000,000.00 ",Gonzales,
Department of Housing and Urban Development,Economic Development Initiatives,TX,The City of San Elizario,San Elizario Community Center,"$2,000,000.00 ",Gonzales,
Department of Housing and Urban Development,Economic Development Initiatives,TX,The University of Texas at El Paso,UAS Drone Workforce Development Center,"$2,000,000.00 ",Gonzales,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Town of Pecos City,Pecos Housing Project,"$2,000,000.00 ",Gonzales,
Department of Housing and Urban Development,Economic Development Initiatives,TX,University of Texas at San Antonio,UTSA Veterans Center,"$7,500,000.00 ",Gonzales,
Department of Housing and Urban Development,Economic Development Initiatives,TX,The City of Brownsville,Project Phoenix,"$250,000.00 ",Gonzalez,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Brownsville Fire Department,City of Brownsville Fire Department—Training Field Upgrades,"$250,000.00 ",Gonzalez,
Department of Housing and Urban Development,Economic Development Initiatives,TX,The University of Texas Rio Grande Valley (UTRGV),Cold Storage Facility Training and Logistics Hub,"$250,000.00 ",Gonzalez,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Kleberg County,"Baffin  Bay  Education,  Safety  and  Ecotourism  Boat  Ramp  and Fishing Pier","$850,000.00 ",Gonzalez,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Mercedes,City of Mercedes Expansion of Storm Sewer System,"$850,000.00 ",Gonzalez,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Combes,"City of Combes—Lift Stations Reconstruction, Upgrades, and Repairs","$850,000.00 ",Gonzalez,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Raymondville,Raymondville City Wide Park Improvement Plan,"$965,467.00 ",Gonzalez,
Department of Housing and Urban Development,Economic Development Initiatives,TX,"City of Harlingen, Texas",City of Harlingen New Animal Shelter,"$1,000,000.00 ",Gonzalez,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of La Feria,La Bonita Pump Station & Drainage Improvements,"$1,000,000.00 ",Gonzalez,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Donna,Donna Multi-purpose Sports Complex,"$2,000,000.00 ",Gonzalez,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Town of Sunnyvale,Sunnyvale Collins Road Widening Project (Phase 2),"$1,000,000.00 ",Gooden,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Mineola Independent School District,The Wood County Special Education Co-Op Multi-District Building,"$1,000,000.00 ",Gooden,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Jarvis Christian University,Facilities Improvements,"$3,000,000.00 ",Gooden,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Fort Bend County Precinct 2,City of Arcola Wastewater Treatment Plant Expansion,"$250,000.00 ",Green (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Houston—Houston Public Works,Almeda Genoa Rd. at Furman Rd. Intersection Improvements,"$250,000.00 ",Green (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Gulfgate Redevelopment Authority,Sterling High School Community Improvement Project,"$250,000.00 ",Green (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Five Corners Improvement District Harris County Improvement District 10A,Houston Stand Down Career Gear Houston Facility Expansion and Upgrades and Equipment Acquisition,"$500,000.00 ",Green (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Greater Southeast Management District,The  Hermann  Park  Northeast  Connectivity  and  Mobility  Improvements,"$850,000.00 ",Green (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Texas Woman’s University,Equipment Acquisition to Promote Houston Workforce Development,"$850,000.00 ",Green (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Houston Land Bank,"Houston  Land  Bank  Land  and  Housing  Acquisition,  Development, and Construction","$1,200,000.00 ",Green (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Pearland,City of Pearland Fire Suppression Apparatus,"$2,000,000.00 ",Green (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Harris County,Precinct 3’s Hufsmith-Kohrville Road Widening and Bridge Reconstruction,"$1,000,000.00 ",Hunt,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Harris County,Precinct 4’s Voss Rd. Safety Improvements,"$1,000,000.00 ",Hunt,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Hedwig Village,West Side Infrastructure Construction,"$1,000,000.00 ",Hunt,
